Plant Category,Seed Name,Average Precipitation per day,Average Temperature (2 m),Average Soil Temperature (0 to 6 cm),Average Sunshine Duration(s),Humidity(%),Rainfall Alert Maximum Rain (mm),Average Soil Moisture (0-3 cm)
Flowering plant,Oxalis tetraphylla (syn. O. deppei),4.0,20.0,17.5,25200.0,60.0,10.0,0.4
Perennial,Patrinia Villosa,7.5,22.5,17.5,4500.0,50.0,75.0,0.3
Flowering Plant,Dimorphotheca aurantiaca,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Carlina Vulgaris,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Perennial,Ligularia przewalskii,7.5,17.5,15.0,25000.0,50.0,20.0,0.30000000000000004
Biennial/perennial,Cheiranthus cheiri,5.0,18.0,15.0,18000.0,60.0,20.0,0.3
Perennial,Anthericum ramosum,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Perennial,Senecio fuchsii,2.0,18.0,20.0,30000.0,60.0,10.0,0.3
Herb,Cephalophora aromatica,5.0,20.0,18.0,3600.0,70.0,20.0,0.4
Herbaceous Perennial,Glechoma Hederacea,3.0,15.0,12.0,18000.0,60.0,20.0,0.3
Climbing Vine,Sicyos Angulatus,5.0,25.0,20.0,6000.0,70.0,30.0,0.4
Flowering plant,Hieracium sp.,7.5,20.0,15.0,3250.0,60.0,20.0,0.25
Perennial herb,Hieracium aurantiacum,3.0,16.0,15.0,27000.0,55.0,15.0,0.44999999999999996
Grass,Avena Strigosa,5.0,20.0,18.0,18000.0,60.0,50.0,0.3
Deciduous Tree,Carpinus betulus,5.0,10.0,15.0,24000.0,50.0,50.0,0.3
Perennial Herb,Gynura crepidioides,5.0,25.0,20.0,6000.0,70.0,50.0,0.4
Perennial,Trachycarpus fortunei,5.2,18.5,15.8,18000.0,60.0,50.0,0.25
Shrub,Cornus sanguinea,5.0,15.0,12.0,18000.0,60.0,50.0,0.3
Perennial,Ononis spinosa,5.0,20.0,15.0,36000.0,60.0,20.0,0.3
Succulent,Sempervivum Hybriden,2.0,18.0,15.0,6000.0,50.0,10.0,0.3
Perennial,Sempervivum montanum,5.0,20.0,15.0,3000.0,60.0,20.0,0.3
Perennial,Sempervivum tectorum,2.0,18.0,15.0,18000.0,60.0,10.0,0.3
Perennial succulent,Sempervivum arachnoideum,5.0,20.0,18.0,30000.0,50.0,20.0,0.2
Shrub,Lonicera sp.,3.5,21.0,21.5,25200.0,50.0,50.0,0.30000000000000004
Perennial,Santolina chamaecyparissus,3.0,20.0,15.0,6000.0,50.0,20.0,0.25
Herbaceous perennial,Thlaspi alliaceum,4.0,18.0,20.0,3000.0,60.0,20.0,0.25
Perennial,Scutellaria Woronowii,5.0,18.0,15.0,6000.0,60.0,20.0,0.4
Perennial,Colchicum autumnale,5.0,15.0,12.0,6000.0,60.0,20.0,0.3
Perennial aquatic plant,Caldesia parnassifolia,5.0,22.0,20.0,12000.0,80.0,50.0,0.45
Perennial Flowering Plant,Hedychium gardnerianum,5.0,20.0,15.0,5000.0,70.0,50.0,0.3
Perennial,Rubus odoratus,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Grass,Coix lacryma-jobi,5.0,25.0,20.0,30000.0,60.0,50.0,0.4
Herb,Rhaponticum carthamoides,3.5,17.5,15.0,3250.0,55.0,10.0,0.30000000000000004
Grass,Sorghum sp.,5.0,25.0,20.0,3600.0,50.0,100.0,0.3
Perennial,Myagrum Perfoliatum,5.0,22.0,18.0,6000.0,60.0,20.0,0.3
Herbaceous plant,Galeopsis segetum,5.0,20.0,15.0,6000.0,60.0,50.0,0.3
Shrub,Sambucus racemosa,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Shrub,Sambucus Nigra,5.0,15.0,10.0,18000.0,70.0,50.0,0.3
Perennial,Humulus lupulus,4.5,12.5,15.2,27000.0,70.0,20.0,0.25
Deciduous tree,Ostrya carpinifolia,7.5,20.0,15.0,20000.0,55.0,20.0,0.30000000000000004
Shrub,Hydrangea serrata,5.0,18.0,20.0,30000.0,70.0,50.0,0.4
Flowering plant,Chenopodium berlandieri ssp. nuttalliae,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Perennial herb,Tussilago farfara,5.0,10.0,12.0,18000.0,60.0,20.0,0.3
Herbaceous plant,Cynoglossum officinale,2.0,18.0,15.0,18000.0,60.0,10.0,0.3
Vine,Echinocystis lobata,5.0,20.0,18.0,24000.0,60.0,50.0,0.3
Perennial,Vinca minor,5.0,22.0,18.0,3600.0,50.0,50.0,0.3
Perennial,Monarda didyma,3.5,18.5,15.2,28000.0,60.0,20.0,0.22
Herbaceous perennial,Zingiber officinale,5.0,25.0,20.0,30000.0,70.0,50.0,0.3
Perennial,Jaltomata procumbens,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Perennial Herb,Gynostemma Pentaphyllum,5.0,20.0,15.0,24000.0,60.0,50.0,0.3
Shrub,Ribes sp.,5.0,22.0,18.0,3600.0,60.0,50.0,0.3
Shrub,Ribes alpinum,5.0,10.0,12.0,6000.0,70.0,20.0,0.3
Tree,Ceratonia siliqua,5.0,20.0,18.0,3000.0,60.0,50.0,0.3
Perennial,Hypericum perforatum,5.0,20.0,18.0,24000.0,60.0,20.0,0.4
Flowering plant,Hypericum hircinum,3.0,20.0,15.0,20000.0,60.0,20.0,0.4
Flowering Tree,Cercis siliquastrum,7.5,20.0,15.0,2600.0,60.0,75.0,0.25
Shrub,Rhodotypos scandens,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Fruit Tree,Diospyros kaki,5.0,20.0,18.0,18000.0,60.0,50.0,0.3
Herbaceous plant,Chaerophyllum aromaticum,5.0,20.0,15.0,3600.0,70.0,20.0,0.4
Perennial herb,Acorus calamus,5.0,20.0,15.0,3600.0,70.0,20.0,0.3
Herbaceous plant,Anthemis nobilis,5.0,15.0,20.0,5000.0,60.0,20.0,0.3
Herbaceous Plant,Elsholtzia Ciliata,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Perennial shrub,Capparis spinosa var. inermis,5.0,20.0,18.0,3600.0,60.0,50.0,0.3
Perennial,Tulbaghia Simmleri,5.0,22.0,18.0,24000.0,60.0,20.0,0.3
Perennial,Tulbaghia violacea,5.0,20.0,18.0,3600.0,60.0,50.0,0.3
Perennial Herb,Elettaria cardamomum,10.0,25.0,20.0,30000.0,70.0,2000.0,0.4
Herbaceous plant,Amomum subulatum,4.0,18.0,20.0,43200.0,70.0,100.0,0.4
Herbaceous perennial,Dipsacus sativus,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Herb,Cnicus benedictus,5.0,20.0,18.0,3600.0,60.0,15.0,0.3
Flowering Plant,Solanum tuberosum,5.0,15.0,10.0,40000.0,70.0,50.0,0.3
Legume,Cajanus cajan,5.0,25.0,20.0,6000.0,70.0,50.0,0.3
Perennial,Nepeta sp.,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial Herb,Anthriscus sylvestris,5.0,15.0,12.0,18000.0,60.0,50.0,0.25
Perennial,Phytolacca americana,5.0,25.0,20.0,36000.0,70.0,50.0,0.3
Evergreen tree,Pinus nigra,5.0,15.0,10.0,18000.0,60.0,20.0,0.3
Fruit Tree,Prunus cerasus,3.1,15.6,12.8,3600.0,60.0,20.0,0.25
Tree,Prunus avium,5.0,15.0,18.0,6000.0,70.0,50.0,0.3
Perennial flowering plant,Kitaibelia vitifolia,5.0,20.0,15.0,3000.0,60.0,20.0,0.3
Vine,Actinidia sp.,5.0,20.0,18.0,3000.0,70.0,20.0,0.3
Perennial,Proboscidea louisianica,5.0,25.0,20.0,3600.0,60.0,20.0,0.3
Herbaceous Perennial,Arctium minus,5.0,15.0,12.0,18000.0,60.0,20.0,0.3
Annual Plant,Scleranthus annuus,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Herbaceous perennial,Alliaria petiolata,5.0,22.0,18.0,6000.0,60.0,20.0,0.3
Herbaceous perennial,Apium nodiflorum,5.0,20.0,18.0,6000.0,70.0,30.0,0.35
Perennial,Polygonum multiflorum,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Herb,Persicaria odorata,5.0,25.0,20.0,24000.0,70.0,50.0,0.5
Annual,Cuphea Viscosissima,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Vegetable,Brassica oleracea var. capitata,5.0,18.0,15.0,18000.0,70.0,20.0,0.4
Vegetable,Brassica Carinata,5.0,25.0,20.0,600.0,60.0,50.0,0.3
Vegetable,Brassica oleracea var. botrytis,3.5,15.0,12.5,18000.0,60.0,30.0,0.30000000000000004
Vegetable,Brassica rapa ssp. chinensis,5.0,20.0,18.0,3600.0,60.0,50.0,0.3
Vegetable,Brassica oleracea var. gemmifera,3.0,18.0,15.0,6000.0,70.0,20.0,0.3
Crop,Brassica napus var. pabularia = var. napus,5.0,15.0,12.0,6000.0,70.0,50.0,0.3
Vegetable,Brassica oleracea var. sabauda,5.0,18.0,15.0,18000.0,60.0,20.0,0.3
Vegetable,Brassica oleracea var. gongylodes,7.5,17.5,17.5,3500.0,60.0,20.0,0.4
Perennial,Gaillardia x Grandiflora,5.0,20.0,15.0,18000.0,50.0,20.0,0.3
Perennial Flowering Plant,Verbascum densiflorum,3.5,20.0,15.0,25200.0,50.0,10.0,0.2
Perennial,Verbascum speciosum,2.5,18.5,15.2,28000.0,55.0,50.0,0.3
Perennial,Verbascum Blattaria,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Perennial,Verbascum nigrum,5.0,20.0,15.0,3600.0,50.0,20.0,0.3
Perennial,Verbascum bakerianum,3.0,20.0,18.0,6000.0,50.0,20.0,0.25
Perennial,Verbascum sp.,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Flowering plant,Agrostemma linicola,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Flowering Plant,Cosmos Sulphurus,5.0,25.0,20.0,3600.0,60.0,50.0,0.3
Perennial,Rubia Tinctorum,5.0,18.0,15.0,3600.0,60.0,15.0,0.3
Aquatic plant,Stratiotes aloides,5.0,22.0,18.0,6000.0,70.0,20.0,0.8
Herbaceous perennial,Lepidium graminifolium,7.5,22.5,17.5,2250.0,60.0,75.0,0.30000000000000004
Flowering Plant,Lepidium Neglectum,5.0,20.0,18.0,6000.0,60.0,20.0,0.2
Herbaceous plant,Lepidium virginicum,5.0,20.0,15.0,5000.0,60.0,50.0,0.2
Perennial,Ballota pseudodictamnus,5.0,20.0,18.0,18000.0,70.0,20.0,0.3
Shrub,Rhamnus sp.,5.0,20.0,18.0,6000.0,70.0,20.0,0.4
Herb,Cumin,3.0,25.0,20.0,6000.0,60.0,20.0,0.3
Succulent,"Senecio Serpens, Syn. Kleinia Repens",2.0,20.0,18.0,3600.0,50.0,10.0,0.3
Shrub,Rosa gallica x r. damascena,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Perennial,Crocus neapolitanus,3.5,14.0,12.5,25200.0,50.0,20.0,0.30000000000000004
Herbaceous perennial,Hedysarum coronarium,3.0,20.0,15.0,24000.0,70.0,10.0,0.3
Perennial,Globularia punctata,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Echinops sphaerocephalus,5.0,18.0,15.0,3000.0,50.0,20.0,0.3
Perennial,Echinops ritro,5.0,20.0,18.0,6000.0,50.0,20.0,0.4
Vegetable,Cucurbita mixta,5.0,25.0,20.0,6000.0,60.0,20.0,0.3
Aquatic,Potamogeton Nodosus,5.0,20.0,18.0,6000.0,70.0,10.0,0.8
Flowering Plant,Allium spec.,10.0,20.0,15.0,3600.0,60.0,50.0,0.3
Perennial,Allium montanum,5.0,20.0,15.0,3000.0,60.0,20.0,0.2
Perennial,Allium odorum = ramosum,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Allium moly,3.5,20.0,15.0,26000.0,50.0,15.0,0.30000000000000004
Perennial,Allium angulosum,5.0,18.0,15.0,18000.0,60.0,10.0,0.3
Flowering Plant,Allium Carinatum,5.0,20.0,18.0,6000.0,60.0,20.0,0.4
Perennial,Allium oleraceum,5.0,15.0,12.0,3600.0,60.0,20.0,0.3
Perennial,Allium nutans,5.0,20.0,15.0,24000.0,50.0,20.0,0.3
Perennial,Lavandula multifida,2.0,20.0,18.0,6000.0,50.0,15.0,0.3
Perennial,Lavandula Latifolia,2.5,18.5,15.2,25000.0,50.0,20.0,0.25
Perennial,Lavandula dentata var. candicans,5.0,20.0,18.0,30000.0,60.0,20.0,0.3
Perennial,Linum perenne,5.0,15.0,18.0,6000.0,60.0,20.0,0.3
Flowering Plant,Linum hirsutum,5.0,23.0,18.0,7200.0,60.0,50.0,0.25
Flowering plant,Linaria genistifolia,3.5,20.0,12.5,25200.0,50.0,20.0,0.30000000000000004
Flowering Plant,Linaria purpurea,3.5,18.0,15.0,6000.0,60.0,20.0,0.25
Perennial,Belamcanda chinensis,5.0,20.0,15.0,30000.0,60.0,20.0,0.4
Perennial,Corydalis cava,5.0,15.0,12.0,24000.0,60.0,10.0,0.3
Fungi,Panellus stipticus,5.0,18.0,15.0,6000.0,80.0,10.0,0.4
Flowering Plant,Lilium Speciosum,5.0,20.0,18.0,30000.0,60.0,20.0,0.3
Flowering Plant,Lílium Cándidum,5.0,20.0,15.0,18000.0,60.0,20.0,0.4
Perennial,Solanum sisymbriifolium,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Vegetable,Löschen,10.0,18.0,15.0,4800.0,60.0,30.0,0.4
Herbaceous perennial,Allium tuberosum syn odorum,5.0,20.0,18.0,18000.0,60.0,50.0,0.3
Flowering Plant,Misopates Orontium,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Asarina procumbens,5.0,16.0,15.0,28800.0,60.0,20.0,0.25
Vegetable,Luffa sp.,5.0,25.0,20.0,30000.0,60.0,50.0,0.4
Fruit,Solanum quitoense,5.0,24.0,20.0,6000.0,70.0,50.0,0.4
Perennial,Pulmonaria officinalis,5.0,15.0,12.0,24000.0,70.0,50.0,0.3
Fungi,Pleurotus pulmonarius,5.0,25.0,22.0,18000.0,75.0,50.0,0.5
Fungi,Pleurotus pulmonarius,5.0,22.0,18.0,3600.0,70.0,20.0,0.4
Perennial,Lupinus sp.,10.0,20.0,15.0,6000.0,60.0,50.0,0.4
Perennial Flower,Lupinus Polyphyllus-Hybriden,3.0,17.5,12.5,25200.0,50.0,10.0,0.25
Perennial,Filipendula ulmaria,4.0,20.0,15.0,25200.0,60.0,20.0,0.4
Grass,Hordeum jubatum,5.0,20.0,15.0,3600.0,50.0,20.0,0.4
Perennial Flower,Malva sylvestris ssp. mauritiana,5.0,18.0,15.0,24000.0,60.0,20.0,0.25
Tree,Sequoiadendron giganteum,10.0,20.0,15.0,18000.0,50.0,50.0,0.3
Perennial,Prunus dulcis,5.0,20.0,15.0,36000.0,60.0,15.0,0.3
Vegetable,Beta vulgaris convar. cicla,5.0,18.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Manhiot Esculenta,5.0,28.0,25.0,60000.0,75.0,50.0,0.3
Perennial,Eryngium alpinum,5.0,15.0,12.0,18000.0,50.0,20.0,0.2
Flowering vine,Passiflora sp.,10.0,25.0,20.0,6000.0,70.0,30.0,0.3
Perennial Flower,Leucanthemum x superbum-hybride,5.0,20.0,15.0,6000.0,60.0,20.0,0.3
Perennial,Tanacetum sp.,5.0,20.0,15.0,18000.0,70.0,20.0,0.3
Perennial Herb,Tanacetum balsamita,2.0,18.0,15.0,24000.0,60.0,20.0,0.4
Flowering plant,Silybum marianum,3.0,18.0,15.0,6000.0,60.0,20.0,0.25
Perennial grass,Hierochloe odorata,7.5,15.0,12.5,20000.0,55.0,75.0,0.25
Fruit Tree,Prunus armeniaca,5.0,20.0,15.0,18000.0,60.0,50.0,0.3
Perennial,Sedum dasyphyllum,5.0,20.0,18.0,6000.0,50.0,20.0,0.4
Perennial,Sedum reflexum,5.0,20.0,15.0,3600.0,50.0,20.0,0.3
Perennial,Sedum Sarmentosum,5.0,20.0,18.0,6000.0,50.0,20.0,0.3
Perennial,Sedum sexangulare,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Mirabilis Expansa,5.0,18.0,20.0,36000.0,70.0,50.0,0.3
Perennial,Morus sp.,5.0,23.0,18.0,24000.0,60.0,100.0,0.3
Perennial,Crambe abyssinica,5.0,20.0,15.0,3600.0,60.0,50.0,0.3
Perennial,Armoracia rusticana,3.0,10.0,15.0,20000.0,70.0,50.0,0.4
Ornamental plant,Ornithogalum longibracteatum,7.5,22.5,20.0,25200.0,50.0,25.0,0.30000000000000004
Deciduous tree,Sorbus aria,3.0,10.0,12.0,30000.0,60.0,50.0,0.3
Herb,Peucedanum ostruthium,3.0,18.0,15.0,30000.0,60.0,50.0,0.4
Vegetable,Melothria spec.,7.5,25.0,20.0,26000.0,60.0,20.0,0.3
Perennial,Solanum viride,5.0,25.0,20.0,36000.0,60.0,50.0,0.4
Perennial Herb,Cicerbita alpina,5.0,15.0,12.0,6000.0,60.0,20.0,0.4
Herbaceous perennial,Cicerbita Plumieri,5.0,20.0,18.0,3600.0,50.0,10.0,0.3
Perennial,Ornithogalum umbellatum,4.0,20.0,15.0,30000.0,60.0,20.0,0.3
Flowering Perennial,Ornithogalum pyrenaicum ssp. pyrenaicum,3.5,17.5,16.0,25200.0,50.0,10.0,0.30000000000000004
Vegetable,Miltomato Loco,5.0,25.0,20.0,3600.0,70.0,10.0,0.3
Herb,Mentha sp.,5.8,20.5,18.2,24000.0,65.0,30.0,0.32
Herb,Mentha suaveolens,5.0,20.0,15.0,30000.0,60.0,10.0,0.3
Herb,Mentha Spicata,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Herb,Mentha arvensis var. piperascens,5.0,25.0,20.0,3000.0,60.0,20.0,0.3
Perennial Herb,Mentha x gracilis,5.0,20.0,18.0,18000.0,60.0,50.0,0.4
Herb,Mentha longifolia var. crispa,5.0,20.0,18.0,7200.0,60.0,100.0,0.3
Mentha Aquatica F. Citrata,Mentha Aquatica F. Citrata,5.0,25.0,20.0,20000.0,70.0,20.0,0.4
Perennial Herb,Mentha pulegium,5.0,20.0,18.0,3600.0,60.0,30.0,0.3
Herb,Mentha Longifolia,5.0,25.0,20.0,36000.0,60.0,10.0,0.4
Mint,Mentha aquatica,5.0,20.0,18.0,18000.0,60.0,20.0,0.35
Perennial Herb,Aloysia Polystacha,5.0,22.0,18.0,3000.0,70.0,20.0,0.3
Perennial Herb,Hedeoma Viminea,5.0,25.0,22.0,6000.0,60.0,50.0,0.3
Fruit Tree,Mespilus germanica,5.0,12.0,15.0,18000.0,70.0,50.0,0.3
Herb,Cryptotaenia japonica,5.0,18.0,15.0,18000.0,70.0,20.0,0.3
Vegetable,Brassica rapa ssp. nipposinica,3.5,20.0,15.0,25200.0,70.0,75.0,0.44999999999999996
Perennial,Macleaya cordata,5.0,15.0,20.0,3600.0,70.0,50.0,0.4
Herbaceous,Mava,5.0,25.0,20.0,18000.0,60.0,20.0,0.4
Perennial shrub,Nashia inaguensis,5.0,25.0,20.0,3600.0,70.0,50.0,0.3
Herbaceous perennial,Murdannia loriformis,5.0,25.0,28.0,36000.0,70.0,20.0,0.4
Herbaceous perennial,Sium ammomum,5.0,25.0,20.0,60000.0,60.0,20.0,0.3
Herb,Ligusticum lucidum,5.0,20.0,18.0,18000.0,60.0,50.0,0.3
Perennial Herb,Ligusticum scoticum,4.2,10.5,8.7,24000.0,75.0,20.0,0.28
Perennial,Solanum Opacum,10.0,25.0,20.0,3600.0,60.0,50.0,0.3
Perennial,Oenothera odorata,5.0,18.0,20.0,18000.0,60.0,20.0,0.3
Perennial,Oenothera grandiflora,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Perennial,Oenothera glazioviana,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Solanum villosum,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Herbaceous Plant,Solanum Americanum,5.0,25.0,20.0,6000.0,70.0,50.0,0.4
Herbaceous plant,Solanum nigrum,5.0,20.0,22.0,3600.0,65.0,50.0,0.4
Flowering plant,Gilia capitata,3.0,20.0,18.0,5000.0,60.0,20.0,0.4
Fungi,Pholiota nameko,5.0,15.0,12.0,18000.0,80.0,20.0,0.4
Perennial,Narcissus poeticus,2.5,7.5,10.5,2400.0,60.0,20.0,0.25
Perennial,Narcissus pseudonarcissus,3.0,12.0,10.0,24000.0,60.0,20.0,0.3
Fruit Tree,Pyrus pyrifolia,5.0,20.0,18.0,3600.0,60.0,50.0,0.25
Perennial,Dianthus Alpinus,5.0,15.0,12.0,6000.0,60.0,15.0,0.4
Perennial,Dianthus Plumarius,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Perennial,Dianthus gratianopolitanus,3.0,20.0,17.5,25200.0,60.0,10.0,0.30000000000000004
Perennial,Dianthus sylvestris,5.0,20.0,15.0,3000.0,60.0,20.0,0.3
Flowering plant,Dianthus spec.,5.0,18.0,15.0,3000.0,60.0,20.0,0.3
Tree,Azadirachta indica,17.5,30.0,27.5,25200.0,60.0,125.0,0.4
Vegetable,Solanum melongena,5.0,25.0,20.0,30000.0,60.0,100.0,0.3
Perennial,Anchusa officinalis,5.0,18.0,15.0,3600.0,70.0,20.0,0.3
Perennial herb,Agrimonia procera,5.0,20.0,15.0,30000.0,70.0,50.0,0.3
Vegetable,Abelmoschus esculentus,5.0,25.0,20.0,30000.0,60.0,50.0,0.3
Perennial,Santolina viridis,5.0,20.0,18.0,3600.0,50.0,10.0,0.3
Annual,Madia Sativa,5.0,20.0,18.0,3600.0,60.0,20.0,0.3
Herb,Origanum vulgare ssp. viride,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Herb,Origanum samothrake,5.0,18.0,15.0,6000.0,60.0,20.0,0.3
Herb,Origanum onites,5.0,20.0,18.0,3000.0,60.0,20.0,0.3
Perennial herb,Origanum vulgare ssp. vulgare,5.0,20.0,15.0,6000.0,50.0,50.0,0.4
Herb,Lippia Graveolens,5.0,25.0,22.0,3600.0,60.0,50.0,0.25
Annual,Polygonum orientale,4.2,18.5,15.8,24000.0,65.0,40.0,0.35
Tree,Maclura Pomifera,5.0,25.0,18.0,30000.0,60.0,50.0,0.3
Indoor plant,Yucca elephantipes,2.0,25.0,22.0,3600.0,50.0,50.0,0.25
Herb,Porophyllum ruderale,5.0,25.0,20.0,3000.0,60.0,20.0,0.4
Fruit-bearing plant,Carica sp.,7.5,27.5,22.5,26000.0,60.0,50.0,0.30000000000000004
Vegetable,Capsicum annuum / Capsicum sp.,5.0,25.0,20.0,6000.0,60.0,50.0,0.3
Perennial,Caesalpinia gilliesii,5.0,20.0,18.0,3600.0,50.0,20.0,0.3
Herb,Spilanthes oleraceae,5.0,25.0,20.0,8000.0,60.0,20.0,0.3
Herb,Pogostemon heyneanus,5.0,25.0,20.0,3600.0,70.0,10.0,0.3
Perennial Flower,Lychnis Viscaria,3.0,20.0,15.0,2600.0,50.0,10.0,0.25
Perennial,Pelargonium sp.,5.0,20.0,18.0,18000.0,60.0,20.0,0.4
Truffle,Tuber melanosporum,3.0,15.0,12.0,3000.0,70.0,20.0,0.4
Vegetable,Allium porrum var. sectivum,5.0,20.0,15.0,3000.0,60.0,20.0,0.4
Grass,Melica sp.,5.0,20.0,15.0,18000.0,50.0,50.0,0.3
Tree,Diospyros virginiana,5.0,20.0,15.0,6000.0,60.0,50.0,0.3
Climbing Vine,Anredera spec.,5.0,25.0,20.0,24000.0,60.0,20.0,0.4
Herb,Parsley,3.5,17.5,15.0,27000.0,55.0,15.0,0.30000000000000004
Shrub,Evonymus europaea,5.0,15.0,12.0,18000.0,60.0,100.0,0.3
Perennial,Caesalpinia pulcherima,5.0,25.0,28.0,3600.0,60.0,50.0,0.4
Tree,Schinus molle,5.0,20.0,15.0,24000.0,60.0,30.0,0.3
Shrub,Philadelphus x lemoinei,5.0,20.0,15.0,3600.0,50.0,20.0,0.3
Perennial,Cardaria Draba,5.0,20.0,15.0,3600.0,50.0,10.0,0.3
Flowering plant,Paeonia mascula,5.0,20.0,15.0,30000.0,50.0,20.0,0.4
Fruit Tree,Prunus Persica,5.0,25.0,18.0,3000.0,60.0,30.0,0.3
Herbaceous Perennial,Rungia klossii,8.9,25.6,23.4,23400.0,78.0,40.0,0.25
Shrub,Staphylea pinnata,5.0,20.0,18.0,18000.0,60.0,20.0,0.4
Cactus,Hylocereus Undatus,10.0,25.0,20.0,18000.0,60.0,50.0,0.3
Legume,Lathyrus Sativus,5.0,25.0,20.0,3600.0,60.0,10.0,0.3
Perennial,Lathyrus latifolius,5.0,15.0,12.0,30000.0,60.0,20.0,0.25
Herb,Monita perfoliata,10.0,25.0,20.0,6000.0,60.0,50.0,0.3
Herbaceous plant,Montia perfoliata,5.0,20.0,18.0,24000.0,60.0,10.0,0.3
Shrub,Vaccinium vitis-idaea,5.0,10.0,8.0,36000.0,60.0,20.0,0.3
Flowering Plant,Primula x spec.,3.5,15.5,11.5,18000.0,50.0,10.0,0.30000000000000004
Climber,Ipomoea Indica,5.0,25.0,20.0,30000.0,70.0,50.0,0.3
Perennial,Callirhoe involucrata,5.0,25.0,20.0,3000.0,50.0,20.0,0.3
Shrub,Solanum aviculare,5.0,20.0,18.0,18000.0,60.0,20.0,0.3
Fruit Tree,Cydonia oblonga,5.0,15.0,10.0,6000.0,60.0,50.0,0.3
Herbaceous perennial,Tanacetum vulgare var. crispum,5.0,18.0,15.0,18000.0,60.0,30.0,0.4
Herbaceous,Lapsana communis,5.0,15.0,18.0,3600.0,70.0,20.0,0.35
Flowering Plant,Guizotia Abyssinica,5.0,25.0,22.0,6000.0,60.0,30.0,0.2
Annual,Brassica napus var. napus f. annua,3.5,17.5,14.0,20000.0,55.0,75.0,0.30000000000000004
Flowering Plant,Campanula rapunculus,7.5,17.5,12.5,25000.0,50.0,30.0,0.35
Tree,Sapindus Mukorossi,2.5,25.6,22.3,32000.0,65.0,50.0,0.35
Tree Plant,Samanea Saman,10.0,25.0,28.0,3600.0,70.0,50.0,0.4
Perennial,Peristrophe Speciosa,5.0,25.0,20.0,6000.0,60.0,50.0,0.4
Fungi,Ganoderma lucidum,5.0,22.0,25.0,600.0,70.0,50.0,0.4
Perennial Herbaceous Plant,Rheum sp.,5.0,18.0,15.0,30000.0,70.0,50.0,0.3
Shrub,Rhododendron sp.,5.0,18.0,15.0,6000.0,70.0,20.0,0.4
Flowering Plant,Consolida Regalis,5.0,20.0,15.0,3600.0,60.0,30.0,0.4
Flower,Consolida ajacis,5.0,20.0,15.0,6000.0,50.0,20.0,0.3
Perennial,Delphinium oxysepalum,5.0,15.0,18.0,6000.0,60.0,20.0,0.3
Grass,Secale multicaule,5.0,20.0,15.0,3600.0,60.0,20.0,0.3
Aquatic Perennial Herb,Typha angustifolia,5.0,20.0,18.0,3600.0,70.0,50.0,0.8
Perennial,Typha shuttleworthii,5.0,22.0,18.0,24000.0,70.0,20.0,0.4
Flowering Plant,Rosa Pendulina,5.0,15.0,18.0,30000.0,60.0,50.0,0.3
Shrub,Rosa canina var. andegavensis,5.0,20.0,15.0,18000.0,60.0,30.0,0.3
Perennial,Rosa Villosa,2.0,15.0,20.0,18000.0,60.0,20.0,0.4
Perennial shrub,Rosa pimpinellifolia,5.0,20.0,15.0,18000.0,60.0,20.0,0.3
Flowering Plant,Rosa Borboniana,5.0,20.0,18.0,180.0,60.0,30.0,0.3
Shrub,Rosa x damascena,5.0,20.0,18.0,3600.0,70.0,20.0,0.3
Perennial,Rosa gallica var. officinalis,5.0,20.0,18.0,5000.0,60.0,50.0,0.4
Flowering Plant,Rosa Agrestis,5.0,20.0,18.0,6000.0,60.0,20.0,0.3
Shrub,Rosa rugosa,5.0,10.0,15.0,3000.0,60.0,50.0,0.4
