Plant Category,Seed Name,Watering (hours interval),List of Fertilization,Time Period for Fertilization (weeks interval),Soil depth for sowing (inches),Plant name,water unit
Flower,Zonnebloem Velvet Queen,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,0.5,zonnebloem velvet queen,
Vegetable,Bloemkool Neckarperle,60.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",5.0,0.75,bloemkool neckarperle,
Vegetable,Bloemkool Romanesco,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,bloemkool romanesco,
Cereal,Boekweit,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,boekweit,
Vegetable,Boerenkool Rouge de Russie,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,boerenkool rouge de russie,
Herbaceous perennial,Boerenwormkruid,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,boerenwormkruid,
Flowering Plant,Bolderik,48.0,"[""NPK"",""Compost""]",4.0,0.5,bolderik,
Herb,Bonenkruid,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,bonenkruid,
Vegetable,Broccoli Calabrese Natalino,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.75,brocoli calabrese natalino,
Vegetable,Cayenne Pepper,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,cayenne peper,
Herb,Chinese Bieslook,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,chinese bieslook,
Leafy vegetable,Chinese Kool Pak Choï Taisai,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,chinese kool pak choï taisai,
Herb,Ciroenmelisse,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.2,ciroenmelisse,
Herb,Citroen Basilicum,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.25,citroenbasilicum,
Annual,Cosmea Gemengd,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.25,cosmea gemengd,
Annual Flower,Cosmea Rubenza,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.5,cosmea rubenza,
Vegetable,Courgette Caserta,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",2.0,1.0,courgette caserta,
Vegetable,Courgette Goldrush,48.0,"[""NPK 10-10-10"",""Compost"",""Manure""]",4.0,1.0,courgette goldrush,
Vegetable,Courgette Ronde Van Nice,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,courgette ronde van nice,
Vegetable,Courgette Zuboda,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,courgette zuboda,
Herb,Dill,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,dille,
Flowering plant,Driekleurig viooltje,36.0,"[""Liquid fertilizer"",""Organic compost""]",5.0,0.25,driekleurig viooltje,
Flowering Plant,Dropplant,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,dropplant,
Perennial Herb,Echte Heemst,48.0,"[""Organic Compost"",""Slow-release Fertilizer""]",6.0,0.5,echte heemst,
Flower,Eetbare Chrysant,24.0,"[""NPK"",""Compost""]",4.0,1.0,eetbare chrysant,
Legume,Esparcette,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,esparcette,
Flowering Plant,Gewone Margriet,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,gewone margriet,
Flower,Goudsbloem,48.0,"[""10-10-10"",""5-10-5""]",4.0,0.5,goudsbloem,
Vegetable,Groenselderij Tall Utah,48.0,"[""Manure"",""Compost"",""Organic Fertilizer""]",4.0,1.0,groenselderij tall utah,
Flower,Groot Afrikaantje,48.0,"[""Slow-release fertilizer"",""Organic compost""]",4.0,0.2,groot afrikaantje,
Flowering Plant,Groot Kaasjeskruid,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.2,groot kaasjeskruid,
Herb,Hysop,72.0,"[""Organic compost"",""Fish emulsion""]",4.0,0.5,hysop,
Leafy vegetable,Ijsbergsla Saladin,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.2,ijsbergsla saladin,
Legume,Incarnaatklaver,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,incarnaatklaver,
Flowering Plant,Juffertje-in-het-groen,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.5,juffertje-in-het-groen,
Herb,Kamille,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.25,kamille,
Perennial,Kardoen Epineux Argenté de Plainpalais,72.0,"[""NPK"",""Compost""]",4.0,0.5,kardoen  epineux argenté de plainpalais,
Herb,Karwij,48.0,"[""NPK 15-15-15"",""Compost""]",4.0,0.4,karwij,
Herb,Kervel,48.0,"[""NPK fertilizer""]",4.0,0.5,kervel,
Flower,Klaproos,48.0,"[""NPK"",""Compost""]",4.0,0.5,klaproos,
Vegetable,Knolselder Monarch,48.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",2.0,1.0,knolselder monarch,
Herbaceous perennial,Knoopkruid,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,knoopkruid,
Vegetable,Komkommer Armeense,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,1.0,komkommer armeense,
Vegetable,Komkommer Marketmore,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,komkommer marketmore,
Vegetable,komkommer verbeterde telegraaf,24.0,"[""nitrogen"",""phosphorus"",""potassium""]",2.0,1.0,komkommer verbeterde telegraaf,
Herbaceous perennial,Koningskaars,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.5,koningskaars,
Vegetable,Kool Kailaan,36.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",5.0,0.75,kool kailaan,
Vegetable,Koolrabi Azur Star,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,koolrabi azur star,
Vegetable,Koolrabi Superschmelz,60.0,"[""Organic compost"",""All-purpose vegetable fertilizer""]",5.0,0.75,koolrabi superschmelz,d
Flowering Plant,Korenbloem,24.0,"[""NPK"",""Organic Compost""]",4.0,0.5,korenbloem,
Leafy Vegetable,Kropsla Grenobloise,48.0,"[""Organic Compost"",""Nitrogen-based Fertilizer""]",4.0,0.5,kropsla grenobloise,
Leafy green,Kropsla Grosse Blonde Paresseuse,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,kropsla grosse blonde paresseuse,
Leafy Vegetable,Kropsla Lorthois,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,kropsla lorthois,
Leafy Vegetable,Kropsla Skipper,24.0,"[""Nitrogen-based"",""Potassium-based""]",2.0,1.0,kropsla skipper,
Leafy Greens,Kropsla Suzan,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",5.0,0.75,kropsla suzan,
Leafy vegetable,Kropsla Vroege Erstling,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",5.0,0.75,kropsla vroege erstling,
Leafy Vegetable,Krulsla Lollo Rossa,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.2,krulsla lollo rossa,
Flowering Plant,Lampionplant,24.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,lampionplant,
Flowering Plant,Lavas,48.0,"[""NPK"",""Compost""]",4.0,1.0,lavas,
Perennial,Lavendel,48.0,"[""NPK 10-10-10"",""Organic compost""]",8.0,0.2,lavendel,
Flower,Leeuwebek Veelkleurige,48.0,"[""Organic compost"",""Liquid fertilizer""]",4.0,0.25,leeuwebek veelkleurige,
Cereal,Maïs Pop Corn Cinema,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,maïs pop corn cinema,h
Flowering plant,Meiraap Goudbal,48.0,"[""nitrogen-based fertilizer"",""phosphorus-based fertilizer"",""potassium-based fertilizer""]",4.0,1.0,meiraap goudbal,
Fruit,Meiraap Milanese Witte Roodkop,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,meiraap milanese witte roodkop,
Flowering Plant,Meisjesogen,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,meisjesogen,
Fruit,Meloen,72.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,meloen,
Fruit,Meloen Charentais,36.0,"[""NPK fertilizer"",""Organic compost""]",5.0,1.5,meloen charentais,
Vegetable,Mexicaanse Komkommer,48.0,"[""Organic compost"",""All-purpose liquid fertilizer""]",2.0,1.0,mexicaanse komkommer,
Flowering plant,Morgenster,48.0,"[""NPK"",""Organic compost""]",4.0,2.0,morgenster,
Vegetable,Mosterd,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,mosterd,
Vegetable,Nieuw-Zeelandse Spinazie,24.0,"[""Nitrogen-based"",""Potassium-based""]",4.0,1.0,nieuw-zeelandse spinazie,
Flowering plant,Nutterbutter,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",4.0,1.0,nutterbutter,
Fruit,Olijfkomkommer Caigua,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,2.0,olijfkomkommer  caigua,
Annual Flowering Plant,Oostindische Kers,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,1.0,oostindische kers,
Annual Flower,Oostindische Kers Rankend,60.0,"[""Organic compost"",""All-purpose liquid fertilizer""]",5.0,1.5,oostindische kers rankend,
Herb,Oregano,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.25,oregano,
Vegetable,Paprika Doe Hill,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,paprika doe hill,
Vegetable,Paprika Frigitello,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,paprika frigitello,
Vegetable,Paprika Neusiedler Ideal,48.0,"[""NPK 10-10-10"",""Organic compost""]",2.0,0.5,paprika neusiedler ideal,
Vegetable,Paprika Stocky Golden Roaster,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,paprika stocky golden roaster,
Vegetable,Pastinaak Tender and True,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,pastinaak tender and true,
Root vegetable,Pastinaak de Guernesey,48.0,"[""Compost"",""Organic liquid fertilizers""]",4.0,1.0,pastinaak de guernesey,
Vegetable,Pattypan Custard White,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,pattypan custard white,
Perennial,Peper Gorria (d'Espelette),48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,peper gorria (d'espelette),
Pepper,Habanero Maya,48.0,"[""nitrogen"",""phosphorus"",""potassium""]",4.0,0.5,peper habanero maya,h
Vegetable,Pepper Jalapeno,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,0.5,peper jalapeno,
Herb,Peterselie Gigante d'Italia,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,0.5,peterselie gigante d'italia,
Herb,Peterselie Grüne Perle 2,24.0,"[""NPK"",""Compost""]",4.0,0.5,peterselie grüne perle 2,
Herb,Peterselie Mitsuba,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,1.0,peterselie mitsuba,
Herb,Peterselie Mooskrause,36.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",3.0,0.375,peterselie mooskrause,
Flowering Plant,Phacelia,48.0,"[""NPK"",""Compost""]",4.0,1.0,phacelia,
Fruit,Physalis Cerise de Terre,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,physalis cerise de terre,
Fruit-bearing plant,Physalis cisneros,48.0,"[""Compost"",""Organic fertilizer""]",4.0,0.5,physalis cisneros,
Leafy Vegetable,Pluksla Amerikaanse Roodrand,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,pluksla amerikaanse roodrand,
Flowering Plant,Pluksla Cerbiatta,48.0,"[""NPK fertilizers"",""Organic compost""]",4.0,0.5,pluksla cerbiatta,
Vegetable,Pluksla Cocarde,24.0,"[""NPK 10-10-10"",""Organic compost""]",2.0,0.5,pluksla cocarde,
Vegetable,Pompoen Bleu de Hongrie,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,pompoen bleu de hongrie,
Vegetable,Pompoen Butternut Waltham,48.0,"[""NPK Fertilizer"",""Compost""]",4.0,1.0,pompoen butternut waltham,
Vegetable,Pompoen Longue de Nice,48.0,"[""Compost"",""Manure""]",2.0,2.0,pompoen longue de nice,
Vegetable,Pompoen Musquée de Provence,48.0,"[""Compost"",""Organic fertilizer""]",4.0,2.0,pompoen musquée de provence,
Vegetable,Pompoen Red Kuri,48.0,"[""Nitrogen-based"",""Potassium-based""]",2.0,2.0,pompoen red kuri,
Vegetable,Pompoen Rouge Vif d'Etamps,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,2.0,pompoen rouge vif d'etamps,
Vegetable,Pompoen Spaghetti,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,pompoen spaghetti,
Vegetable,Pompoen Sweet Dumpling,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,pompoen sweet dumpling,
Vegetable,Pompoen Zappalito,48.0,"[""NPK"",""Compost""]",4.0,2.0,pompoen zappalito,
Cucurbita,Pompoen de Siam,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,pompoen de siam,
Leafy vegetable,Postelein Groene,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,postelein groene,
Vegetable,Prei Bleu de Solaise,48.0,"[""Compost"",""Organic fertilizer"",""Liquid fertilizer""]",4.0,0.5,prei bleu de solaise,
Vegetable,Radijs Halflange Rode Grootwitpunt 2,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,radijs halflange rode grootwitpunt 2,
Vegetable,Radijs Sora,24.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,radijs sora,
Vegetable,Rettich Rosé de Pâques 2,24.0,"[""nitrogen-rich fertilizer"",""potassium-rich fertilizer""]",2.0,0.5,rettich rosé de pâques 2,
Perennial Flower,Rode Zonnehoed,48.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.25,rode zonnehoed,
Vegetable,Rode Biet Chioggia,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,1.0,rode biet chioggia,
Vegetable,Rode Biet Egyptische Platronde,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,rode biet egyptische platronde,
Vegetable,Rode Biet Formanova,48.0,"[""NPK"",""Compost""]",4.0,2.0,rode biet formanova,
Vegetable,Rode Biet Forono,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,rode biet forono,
Vegetable,Rode Biet Robuschka,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,1.0,rode biet robuschka,
Vegetable,Rode Kool Amarant,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,rode kool amarant,
Grain crop,Rogge,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,rogge,
Flowering Plant,Rood Vlas Grootbloemig,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,rood vlas grootbloemig,
Herbaceous plant,Safflower,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,2.0,saffloer,
Herb,Salvia officinalis,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,salie,
Vegetable,Schorseneer Hoffmanns Schwarze Pfahl,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,2.0,schorseneer hoffmanns schwarze pfahl,
Herb,Shiso,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.25,shiso,
Flowering plant,Slaapmutsje,24.0,"[""Organic compost"",""Slow-release fertilizer""]",4.0,1.0,slaapmutsje,
Leafy vegetable,Snijbiet Donkergroene Gladde Witribbige 3,48.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,snijbiet donkergroene gladde witribbige 3,
Leafy vegetable,Snijbiet Groene Gewone,48.0,"[""Nitrogen-based fertilizers"",""Potassium-based fertilizers""]",4.0,0.5,snijbiet groene gewone,
Leafy vegetable,Snijbiet veelkleurige,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,snijbiet veelkleurige,
Leafy Vegetable,Snijselder,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,snijselder,
Leafy vegetable,Spinach,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",3.0,0.75,spinazie,
Vegetable,Spinazie Butterflay,24.0,"[""NPK (10-10-10)"",""Compost""]",4.0,1.0,spinazie butterflay,
Leafy vegetable,Spinazie vroeg reuzenblad,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,spinazie vroeg reuzenblad,
Vegetable,Spitskool van Châteaurenard,48.0,"[""NPK fertilizer"",""Compost""]",2.0,0.5,spitskool van châteaurenard,
Vegetable,Spruitjes Groninger,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,2.0,spruitjes groninger,
Vegetable,Stamdoperwt Kelvedon Wonder,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,2.0,stamdoperwt kelvedon wonder,
Flowering plant,Stampeul Norli,48.0,"[""NPK"",""Organic compost""]",4.0,1.0,stampeul norli,
Flowering plant,Stamslaboon Creso,36.0,"[""NPK fertilizer"",""Organic compost""]",5.0,0.75,stamslaboon creso,
Flowering Plant,Stamslaboon Maxi,48.0,"[""NPK Fertilizer"",""Compost""]",4.0,2.0,stamslaboon maxi,
Leafy vegetable,Stengelsla Chinesische Keule,48.0,"[""NPK fertilizer"",""Compost""]",4.0,0.5,stengelsla chinesische keule,
Vegetable,Stengelui Long White Ishikura,24.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,stengelui long white ishikura,
Perennial,Stokroos,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,stokroos,
Vegetable,Suikererwt Ambrosia,48.0,"[""NPK 10-10-10"",""NPK 5-10-15""]",4.0,2.0,suikererwt ambrosia,
Vegetable,Suikermaïs Tramunt,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,2.0,suikermaïs tramunt,
Herb,Thijm,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.5,thijm,
Vegetable,Tomatillo Purple,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,tomatillo purple,
Legume,Tuinboon Eleonora,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,tuinboon eleonora,
Legume,Tuinboon Ratio,48.0,"[""Nitrogen-based fertilizer"",""Phosphorus-based fertilizer""]",4.0,2.0,tuinboon ratio,
Vegetable,Tuinkers,24.0,"[""NPK fertilizer"",""Compost""]",2.0,1.0,tuinkers,
Leafy vegetable,Tuinmelde Rode,24.0,"[""Nitrogen-rich fertilizer"",""Potassium-rich fertilizer""]",4.0,0.5,tuinmelde rode,
Flowering plant,Turkse Drakenkop,12.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,turkse drakenkop,h
Flowering Plant,Ui Stuttgart Giant,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,ui stuttgart giant,
Vegetable,Venkel Perfection,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,venkel perfection,
Vegetable,Venkel Wilde,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,venkel wilde,
Fruit,Watermeloen Sugar Baby,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,watermeloen sugar baby,
Leafy vegetable,Wilde Rucola,24.0,"[""Nitrogen-based fertilizer"",""Compost""]",3.0,0.5,wilde rucola,
Winter Vegetable,Winterkers,48.0,"[""Organic Compost"",""Nitrogen-based Fertilizer""]",2.0,0.5,winterkers,
Leafy Vegetable,Andijvie Bubikpof 2,48.0,"[""nitrogen-based fertilizer"",""potassium-based fertilizer""]",4.0,0.5,andijvie bubikpof 2,
Leafy vegetable,Andijvie Frisée de Namur,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,0.5,andijvie frisée de namur,
Vegetable,Chinese Kool Granaat,48.0,"[""NPK"",""Compost""]",2.0,0.5,chinese kool granaat,
Vegetable,Chinese Kool Sélection Sativa,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.5,chinese kool sélection sativa,
Flowering plant,Damastbloem,48.0,"[""NPK"",""Compost""]",4.0,0.5,damastbloem,
Perennial,Achillea millefolium,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",4.0,0.2,duizendblad,
Leafy Vegetable,Kropsla Winterwonder,48.0,"[""NPK"",""Compost""]",2.0,0.5,kropsla winterwonder,
Vegetable,Rammenas Ronde Zwarte Winter,48.0,"[""Organic compost"",""Nitrogen-rich fertilizer""]",4.0,1.0,rammenas ronde zwarte winter,
Leafy vegetable,Savoy cabbage,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,savooiekool,
Perennial,Stokroos Zwarte,48.0,"[""10-10-10"",""5-10-5""]",4.0,0.25,stokroos zwarte,
Leafy Vegetable,Veldsla Elan,18.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",5.0,0.75,veldsla elan,
Leafy vegetable,Veldsla Vit,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,veldsla vit,
Leafy vegetable,Veldsla Volhart 2,48.0,"[""Nitrogen-based"",""Potassium-based"",""Phosphorous-based""]",2.0,0.5,veldsla volhart 2,
Leafy vegetable,Winterpostelein,48.0,"[""Compost"",""Organic liquid fertilizer""]",4.0,0.2,winterpostelein,
Legume,Winterwikke,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,winterwikke,
Legume,Zomerwikke,24.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,2.0,zomerwikke,
Vegetable,Aubergine Obsidien,48.0,"[""NPK"",""Compost"",""Organic Fertilizer""]",2.0,0.5,aubergine obsidien,
Vegetable,Aubergine Rotonda Bianca Sfumata di Rosa,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,aubergine rotonda bianca sfumata di rosa,
Vegetable,Aubergine Slim Jim,48.0,"[""NPK 10-10-10"",""Organic Compost""]",2.0,0.5,aubergine slim jim,
Vegetable,Aubergine Van Barbentane,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,aubergine van barbentane,
Leafy Vegetable,Bindsla Queue de Truite,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,0.5,bindsla queue de truite,
Fruit,Cherrytomaat Gardener's Delight,24.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,1.0,cherrytomaat gardener's delight,
Vegetable,Paprika Chocolat,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,paprika chocolat,
Vegetable,Paprika Corno di Toro Rosso,48.0,"[""Organic compost"",""Slow-release granular fertilizer""]",4.0,0.5,paprika corno di toro rosso,
Vegetable,Paprika Quadrato d'Asti Giallo,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",2.0,0.2,paprika quadrato d'asti giallo,
Vegetable,Paprika Rosso,48.0,"[""NPK 10-10-10"",""Compost"",""Bone meal""]",4.0,1.0,paprika rosso,
Vegetable,Paprika Tequila Sunrise,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,paprika tequila sunrise,
Fruit,Tomaat Andine Cornue,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",4.0,1.0,tomaat andine cornue,
Fruit,Tomaat Black Cherry,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,1.0,tomaat black cherry,
Fruit vegetable,Tomaat Blush,48.0,"[""NPK 10-10-10"",""Compost""]",3.0,0.5,tomaat blush,
Vegetable,Tomaat Brandywine,48.0,"[""NPK fertilizers"",""Compost""]",3.0,0.5,tomaat brandywine,
Vegetable,Tomaat Candy Sweet Icicle,48.0,"[""NPK fertilizer"",""Organic compost""]",4.0,1.0,tomaat candy sweet icicle,
Vegetable,Tomaat Corma,24.0,"[""NPK"",""Organic compost"",""Bone meal""]",2.0,0.5,tomaat corma,
Fruit,Tomaat Cuor di Bue (Cœur de Bœuf),48.0,"[""Nitrogen-based fertilizers"",""Phosphorus-based fertilizers"",""Potassium-based fertilizers""]",2.0,1.0,tomaat cuor di bue (cœur de bœuf),
Vegetable,Tomaat Gele 'Saint Vincent',48.0,"[""Organic compost"",""NPK fertilizer""]",2.0,0.5,"tomaat gele ""saint vincent""",
Tomato,Téton de Vénus,48.0,"[""Nitrogen-based"",""Potassium-based""]",2.0,1.0,"tomaat gele ""téton de vénus""",
Fruit,Tomaat Golden Currant,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,tomaat golden currant,
Vegetable,Tomato Green Doctor Frosted,48.0,"[""NPK"",""Compost"",""Bone Meal""]",2.0,6.0,tomaat green doctor frosted,
Fruit,Tomaat Green Zebra,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,1.0,tomaat green zebra,
Vegetable,Tomaat La Carotina,24.0,"[""Nitrogen-rich fertilizer"",""Phosphorus-rich fertilizer""]",4.0,2.0,tomaat la carotina,
Vegetable,Tomaat Merveille des Marchés,48.0,"[""Nitrogen"",""Phosphorus"",""Potassium""]",4.0,0.5,tomaat merveille des marchés,
Tomato,Mountain Magic F6,24.0,"[""NPK"",""compost"",""bone meal""]",2.0,1.0,tomaat mountain magic f6,
Vegetable,Tomaat Noire de Crimée,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,0.5,tomaat noire de crimée,
Vegetable,Tomaat Poire Jaune,48.0,"[""NPK 10-10-10"",""Organic compost""]",4.0,1.0,tomaat poire jaune,
Tomato,Tomaat Précoce de Quimper,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,tomaat précoce de quimper,
Vegetable,Tomaat Purple Russian,48.0,"[""Nitrogen-based fertilizer"",""Potassium-based fertilizer""]",2.0,1.0,tomaat purple russian,
Vegetable,Tomaat Rose de Berne,48.0,"[""Organic compost"",""Liquid seaweed fertilizer""]",2.0,0.5,tomaat rose de berne,
Tomato,Rotkäppchen,48.0,"[""Organic compost"",""NPK fertilizer""]",2.0,2.0,tomaat rotkäppchen,
Tomato,Tomaat Saint-Pierre,36.0,"[""NPK 10-10-10"",""Organic compost""]",5.0,0.75,tomaat saint-pierre,
Tomato,Tomaat Triomphe de Liège,48.0,"[""NPK 10-10-10"",""Organic compost""]",2.5,0.5,tomaat triomphe de liège,
Vegetable,Tomaat Verte de Huy,48.0,"[""NPK 10-10-10"",""Compost""]",4.0,1.0,tomaat verte de huy,
Vegetable,Tomaat Yellow Giant Belgium,48.0,"[""NPK 10-10-10"",""Organic Compost""]",4.0,1.0,tomaat yellow giant belgium,
